property_id,property_name,property_type,property_design,distance_to_coastline,area_squad,area_distance_to_airport,airport_pickup_price_idr,area_airport_name,region_id
PR0381,Wabisabi Hut,4.0,4.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0384,Omah Ucok,2.0,3.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0394,InnEP Homestay,4.0,4.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0395,Uttara by Stay Habitat,3.0,4.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0406,Rumpang QQ''s Green,4.0,4.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0425,Pavilion Guest House,4.0,1.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0640,Pondok Ijo ,4.0,1.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0120,Bingin Ombak,4.0,0.0,15.6035,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0170,Bingin Surf Left,4.0,0.0,140.6591,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0234,Jepun Sari,4.0,0.0,140.6591,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0282,Kembang Kuning,4.0,0.0,48.2584,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0433,Mudjimba Green Bungalows,2.0,1.0,140.6591,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0008,Sinar Sari Bingin,4.0,0.0,140.6591,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0009,Shankara Guesthouse,4.0,0.0,140.6591,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0024,Villa Shiva,2.0,0.0,140.6591,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0057,Teges Asri,4.0,1.0,476.861,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0082,Villa Purnama,2.0,0.0,140.6591,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0088,Villa Tortoise,2.0,0.0,21.9135,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0090,Villa Shanti,2.0,0.0,140.6591,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0100,Wira Homestay,4.0,0.0,140.6591,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0105,Villa Kura Kura,2.0,0.0,140.6591,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0106,Villa Zen & Papaya,2.0,0.0,140.6591,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0125,Villa Bulan & Cahaya,2.0,0.0,140.6591,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0130,Dreamview Villa,2.0,0.0,140.6591,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0173,Villa Bening,2.0,0.0,140.6591,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0179,Villa Hari Indah,2.0,0.0,140.6591,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0193,Moyo & Son Surf Stay,4.0,0.0,140.6591,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0220,The Jepun Bingin,4.0,0.0,140.6591,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0221,Villa Ayunan,2.0,0.0,140.6591,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0250,Secret Garden,2.0,0.0,140.6591,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0266,Villa Asmara,2.0,0.0,140.6591,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0270,Villa Bingin Luna,2.0,0.0,140.6591,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0272,Villa Cerita Indah,2.0,0.0,140.6591,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0275,Villa Indigo,2.0,0.0,140.6591,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0304,Taman Asih,4.0,0.0,140.6591,1.0,45.0,325000.0,Ngurah Rai (DPS),1.0
PR0135,Kampung Jimba,5.0,0.0,546.9525,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0197,Padang Padang View,4.0,0.0,546.9525,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0229,D''Padang,4.0,0.0,546.9525,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0363,Despacito Loft & Lounge,4.0,3.0,616.825,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0002,PinkCoco Bali,5.0,0.0,546.9525,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0007,Seno Guesthouse,4.0,0.0,546.9525,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0073,Adi Bali Homestay,4.0,0.0,546.9525,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0104,Villa Kama,2.0,4.0,477.08,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0175,Villa Bukit Surf,2.0,0.0,546.9525,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0185,Gravity Villa,2.0,0.0,546.9525,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0189,Kutuh Manak,4.0,0.0,546.9525,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0172,Bobby''s Place,4.0,0.0,824.8619999999999,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0188,Kubu Nyang Nyang,4.0,3.0,307.225,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0314,Breeze Hidden Village,4.0,1.0,1133.15,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0455,La Bomie,4.0,4.0,824.8619999999999,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0494,Dream Breeze Village,4.0,1.0,1098.55,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
PR0021,Sannyas Yoga House,4.0,2.0,824.8619999999999,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0
