unit_id,average_baseline_price,number_of_bookings,property_id,bedroom,bathroom,beds,capacity,ac,balcony,beachfront,breakfast,building_staff,cable_tv,essentials,garden,gym,hair_dryer,hanger,heating,hot_water,kitchen,linens,lock,luggage_drop_off,parking,pool,private_entrance,shampoo,tv,washer,wifi,workspace,property_type,property_design,lat,lng,area_id,area_name
UN0386,826606.3510056026,294,PR0188,1,1,1,2,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,4,3,-8.8284397,115.0879669,A0002,Uluwatu
UN0470,1300735.9415999998,5,PR0140,1,1,1,2,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,4,0,,,A0003,Canggu
UN0471,978426.2067755101,7,PR0140,1,1,1,2,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,4,0,,,A0003,Canggu
UN0601,1108011.3333566615,197,PR0241,2,2,2,4,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,2,0,-8.652147,115.132308,A0003,Canggu
UN0602,920410.6559181279,174,PR0241,1,1,1,2,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,2,0,-8.652147,115.132308,A0003,Canggu
UN0603,926968.9046355402,193,PR0241,1,1,1,2,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,2,0,-8.652147,115.132308,A0003,Canggu
UN0604,918646.0509495308,165,PR0241,1,1,1,2,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,2,0,-8.652147,115.132308,A0003,Canggu
UN0605,938989.1734378103,195,PR0241,1,1,1,2,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,2,0,-8.652147,115.132308,A0003,Canggu
UN0671,5507444.948027102,94,PR0242,3,4,3,8,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,2,0,-8.8358803,115.2066574,A0012,Nusa Dua
UN0672,5412901.238808457,227,PR0196,3,3,3,8,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,2,0,-8.8361902,115.2066422,A0012,Nusa Dua
UN0677,481839.3933823529,85,PR0294,1,1,1,2,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,4,0,-7.802683,110.360967,A0043,Ngupasan
UN0678,496855.4643881856,79,PR0294,1,1,1,3,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,4,0,-7.802683,110.360967,A0043,Ngupasan
