room_id,average_baseline_price,number_of_bookings,unit_id,bathroom,bedroom,beds,capacity,unit_type_id,property_id,name,ac,balcony,beachfront,breakfast,building_staff,cable_tv,essentials,garden,gym,hair_dryer,hanger,heating,hot_water,kitchen,linens,lock,luggage_drop_off,parking,pool,private_entrance,shampoo,tv,washer,wifi,workspace,property_design,property_type,lat,lng,distance_to_coastline,property_bedrooms
395971,1082806.3164583333,32,UN1539,1,1,1,2,120,PR0120,Bingin Ombak Apartment - 1 Lantai 1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,4,-8.805646,115.113378,15.6035,7
395983,892576.5943142634,304,UN2549,1,1,1,,1002,PR0518,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,-8.811985,115.116903,799.267,5
395987,310025.22,2,UN0750,0,1,0,,1209,PR0245,Standard Double,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,-8.822391,115.0871096,,22
395989,449585.0246904928,259,UN1169,1,1,1,3,470,PR0112,Villa Arindra,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,4,-8.797821,115.149441,1935.58,4
395990,1511993.339735799,147,UN2262,3,2,2,4,919,PR0432,Entire,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,4,2,-8.837896,115.151689,1033.16,2
395992,993361.6022406593,260,UN2456,,1,,,975,PR0502,Room,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,2,-8.805481,115.11358,12.9244,1
396232,1146922.106666666,2,UN2448,1,1,1,2,315,PR0245,Deluxe Double,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,4,-8.822391,115.0871096,,22
396422,1181365.070393462,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396423,1790276.2234033612,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396428,2900595.246666666,6,UN1722,1,1,1,2,730,PR0314,Standard,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,1,4,-8.835812,115.118645,1133.15,6
396429,2850584.136666666,1,UN0256,3,3,3,6,160,PR0276,De Kutuh Villa 3BR Villa,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,2,,,,16
396431,2047675.264663309,56,UN2196,5,5,5,0,892,PR0412,Entire,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,4,2,-8.824442,115.163821,2653.12,5
396432,1335800.609523033,92,UN2355,5,3,3,6,1285,PR0417,3BR Villa 3A,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,4,2,-8.807392,115.157375,2755.41,3
396433,427414.74546582,75,UN0733,1,1,2,2,311,PR0245,Standard Twin,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,4,-8.822391,115.0871096,,22
396434,1001301.7605555553,3,UN2755,2,2,3,,1,PR0691,Sleep Well Balangan Villa,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,-8.8090417,115.1135733,,2
396435,1158148.700392904,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396437,1064181.814830827,76,UN2732,3,3,3,,1072,PR0678,Villa Arcturus,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,-8.822613,115.184636,2342.5,3
396440,1693762.5096587301,186,UN1897,5,5,5,0,793,PR0354,5BR Villa,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,4,2,-8.803833,115.1450882,2201.29,10
396441,3503368.5893939394,44,UN1897,5,5,5,0,793,PR0354,5BR Villa,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,4,2,-8.803833,115.1450882,2201.29,10
